"Market order: O00001, 09:30:00, BUY, 100"
"Market order: O01798, 10:21:59, SELL, 400"
"Market order: O01799, 10:22:00, SELL, 500"
"Add limit order: O01800, 10:22:02, BUY, 600, $ 30.34"
"Market order: O01801, 10:22:04, SELL, 300"
"Add limit order: O01802, 10:22:05, BUY, 900, $ 25.62"
"Cancel: O00454, 09:43:07, SELL, 700, $ 43.73"
"Add limit order: O01803, 10:22:08, BUY, 500, $ 32.01"
"Add limit order: O01804, 10:22:09, BUY, 800, $ 30.85"
"Add limit order: O01805, 10:22:10, BUY, 900, $ 30.94"
"Market order: O01806, 10:22:12, BUY, 100"
"Market order: O01807, 10:22:13, BUY, 300"
"Add limit order: O01808, 10:22:16, SELL, 200, $ 42.63"
"Add limit order: O01809, 10:22:17, BUY, 300, $ 31.19"
"Add limit order: O01810, 10:22:18, BUY, 100, $ 30.04"
"Add limit order: O01811, 10:22:19, BUY, 900, $ 30.14"
"Cancel: O00900, 09:55:59, BUY, 700, $ 27.58"
"Add limit order: O01812, 10:22:25, SELL, 100, $ 40.64"
"Market order: O01813, 10:22:26, SELL, 600"
"Market order: O01814, 10:22:28, SELL, 500"
"Market order: O01815, 10:22:29, BUY, 100"
"Add limit order: O01816, 10:22:31, SELL, 300, $ 38.94"
"Add limit order: O01817, 10:22:32, SELL, 300, $ 36.83"
"Add limit order: O01818, 10:22:33, SELL, 600, $ 42.06"
"Add limit order: O01819, 10:22:34, SELL, 700, $ 42.81"
"Add limit order: O01820, 10:22:35, SELL, 200, $ 44.71"
"Market order: O01821, 10:22:37, BUY, 400"
"Add limit order: O01822, 10:22:42, SELL, 400, $ 36.99"
"Add limit order: O01823, 10:22:43, SELL, 100, $ 41.52"
"Market order: O01824, 10:22:44, SELL, 100"
"Add limit order: O01825, 10:22:45, BUY, 700, $ 34.27"
"Market order: O01826, 10:22:46, BUY, 900"
"Add limit order: O01827, 10:22:47, SELL, 300, $ 39.4"
"Market order: O01828, 10:22:50, BUY, 200"
"Market order: O01829, 10:22:52, SELL, 300"
"Market order: O01830, 10:22:59, BUY, 500"
"Market order: O01831, 10:23:00, BUY, 100"
"Add limit order: O01832, 10:23:04, SELL, 800, $ 39.19"
"Market order: O01833, 10:23:06, BUY, 200"
"Add limit order: O01834, 10:23:08, BUY, 800, $ 27.22"
"Add limit order: O01835, 10:23:09, SELL, 700, $ 39.94"
"Cancel: O01435, 10:11:29, SELL, 700, $ 43.69"
"Market order: O01836, 10:23:12, BUY, 300"
"Market order: O01837, 10:23:13, BUY, 600"
"Market order: O01838, 10:23:15, BUY, 700"
"Add limit order: O01839, 10:23:17, SELL, 600, $ 43.72"
"Market order: O01840, 10:23:18, BUY, 400"
"Market order: O01841, 10:23:20, SELL, 100"
"Add limit order: O01842, 10:23:22, BUY, 400, $ 34.41"
"Add limit order: O01843, 10:23:23, BUY, 600, $ 28.1"
"Market order: O01844, 10:23:25, SELL, 100"
"Market order: O01845, 10:23:26, SELL, 600"
"Market order: O01846, 10:23:30, BUY, 300"
"Add limit order: O01847, 10:23:31, SELL, 200, $ 44.29"
"Cancel: O01113, 10:02:01, BUY, 300, $ 25.46"
"Add limit order: O01848, 10:23:38, SELL, 500, $ 37.04"
"Add limit order: O01849, 10:23:39, SELL, 100, $ 37.86"
"Market order: O01850, 10:23:40, BUY, 300"
"Add limit order: O01851, 10:23:42, SELL, 700, $ 38.84"
"Add limit order: O01852, 10:23:43, BUY, 200, $ 26.8"
"Market order: O01853, 10:23:46, SELL, 200"
"Add limit order: O01854, 10:23:48, BUY, 500, $ 27.04"
"Market order: O01855, 10:23:49, SELL, 600"
"Market order: O01856, 10:23:52, BUY, 700"
"Market order: O01857, 10:23:55, SELL, 400"
"Add limit order: O01858, 10:23:58, BUY, 700, $ 28.24"
"Market order: O01859, 10:24:00, BUY, 200"
"Market order: O01860, 10:24:01, SELL, 600"
"Add limit order: O01861, 10:24:03, BUY, 600, $ 31.22"
"Add limit order: O01862, 10:24:04, SELL, 200, $ 37.85"
"Market order: O01863, 10:24:07, SELL, 300"
"Market order: O01864, 10:24:09, BUY, 500"
"Add limit order: O01865, 10:24:12, SELL, 200, $ 39.4"
"Add limit order: O01866, 10:24:14, SELL, 300, $ 38.28"
"Market order: O01867, 10:24:16, BUY, 200"
"Add limit order: O01868, 10:24:17, BUY, 100, $ 33.36"
"Market order: O01869, 10:24:20, BUY, 900"
"Add limit order: O01870, 10:24:21, BUY, 800, $ 26.5"
"Add limit order: O01871, 10:24:22, BUY, 900, $ 30.94"
"Market order: O01872, 10:24:23, SELL, 700"
"Add limit order: O01873, 10:24:24, BUY, 200, $ 32.43"
"Add limit order: O01874, 10:24:26, BUY, 200, $ 26.36"
"Market order: O01875, 10:24:27, BUY, 300"
"Market order: O01876, 10:24:28, BUY, 700"
"Market order: O01877, 10:24:30, SELL, 100"
"Add limit order: O01878, 10:24:31, BUY, 300, $ 30.66"
"Add limit order: O01879, 10:24:32, SELL, 100, $ 38.48"
"Add limit order: O01880, 10:24:34, SELL, 400, $ 35.42"
"Cancel: O00823, 09:53:52, BUY, 400, $ 27.36"
"Add limit order: O01881, 10:24:38, BUY, 400, $ 28.27"
"Market order: O01882, 10:24:39, SELL, 600"
"Cancel: O00823, 09:53:52, BUY, 400, $ 27.36"
"Add limit order: O01883, 10:24:41, SELL, 500, $ 42.68"
"Market order: O01884, 10:24:44, SELL, 100"
"Add limit order: O01885, 10:24:45, SELL, 100, $ 41.48"
"Add limit order: O01886, 10:24:46, BUY, 500, $ 29.57"
"Market order: O01887, 10:24:48, BUY, 200"
"Market order: O01888, 10:24:49, SELL, 200"
"Cancel: O01539, 10:14:29, SELL, 600, $ 44.75"
"Add limit order: O01889, 10:24:52, BUY, 400, $ 34.66"
"Market order: O01890, 10:24:55, BUY, 500"
"Market order: O01891, 10:24:57, SELL, 400"
"Add limit order: O01892, 10:24:58, SELL, 900, $ 44.85"
"Add limit order: O01893, 10:24:59, BUY, 100, $ 30.43"
"Add limit order: O01894, 10:25:00, BUY, 100, $ 29.37"
"Market order: O01895, 10:25:01, BUY, 200"
"Market order: O01896, 10:25:02, SELL, 100"
"Market order: O01897, 10:25:03, BUY, 300"
"Add limit order: O01898, 10:25:07, SELL, 800, $ 38.78"
"Add limit order: O01899, 10:25:08, BUY, 300, $ 29.18"
"Cancel: O00194, 09:35:54, BUY, 100, $ 26.52"
"Market order: O01900, 10:25:10, BUY, 500"
"Market order: O01901, 10:25:11, BUY, 200"
"Add limit order: O01902, 10:25:13, BUY, 200, $ 31.12"
"Market order: O01903, 10:25:14, SELL, 400"
"Add limit order: O01904, 10:25:18, BUY, 400, $ 26.98"
"Market order: O01905, 10:25:21, BUY, 500"
"Market order: O01906, 10:25:22, BUY, 700"
"Market order: O01907, 10:25:23, SELL, 500"
"Add limit order: O01908, 10:25:24, SELL, 300, $ 40.92"
"Add limit order: O01909, 10:25:25, BUY, 200, $ 30.8"
"Market order: O01910, 10:25:26, SELL, 800"
"Add limit order: O01911, 10:25:28, BUY, 400, $ 30.96"
"Add limit order: O01912, 10:25:29, SELL, 300, $ 39.32"
"Add limit order: O01913, 10:25:31, SELL, 200, $ 42.53"
"Add limit order: O01914, 10:25:32, BUY, 700, $ 25.34"
"Cancel: O00649, 09:48:45, BUY, 500, $ 25.24"
"Add limit order: O01915, 10:25:35, BUY, 100, $ 31.92"
"Add limit order: O01916, 10:25:37, SELL, 300, $ 40.6"
"Add limit order: O01917, 10:25:38, SELL, 200, $ 37.87"
"Market order: O01918, 10:25:39, SELL, 100"
"Market order: O01919, 10:25:41, BUY, 100"
"Add limit order: O01920, 10:25:42, SELL, 100, $ 40.12"
"Add limit order: O01921, 10:25:45, BUY, 200, $ 32.22"
"Market order: O01922, 10:25:46, SELL, 200"
"Add limit order: O01923, 10:25:47, SELL, 400, $ 42.57"
"Add limit order: O01924, 10:25:48, SELL, 200, $ 42.17"
"Add limit order: O01925, 10:25:49, BUY, 100, $ 33.9"
"Add limit order: O01926, 10:25:50, SELL, 700, $ 40.41"
"Market order: O01927, 10:25:52, SELL, 200"
"Market order: O01928, 10:25:56, SELL, 500"
"Market order: O01929, 10:25:58, BUY, 100"
"Add limit order: O01930, 10:25:59, SELL, 700, $ 35.65"
"Market order: O01931, 10:26:00, SELL, 300"
"Market order: O01932, 10:26:01, BUY, 600"
"Cancel: O01759, 10:21:03, SELL, 200, $ 44.91"
"Add limit order: O01933, 10:26:03, SELL, 400, $ 38.04"
"Market order: O01934, 10:26:06, BUY, 900"
"Cancel: O00675, 09:49:36, SELL, 100, $ 44.04"
"Add limit order: O01935, 10:26:09, BUY, 800, $ 31.97"
"Add limit order: O01936, 10:26:11, SELL, 600, $ 40.02"
"Market order: O01937, 10:26:12, SELL, 200"
"Add limit order: O01938, 10:26:13, SELL, 400, $ 40.13"
"Add limit order: O01939, 10:26:14, BUY, 400, $ 25.18"
"Add limit order: O01940, 10:26:15, SELL, 200, $ 42.74"
"Add limit order: O01941, 10:26:17, SELL, 300, $ 37.16"
"Market order: O01942, 10:26:19, BUY, 300"
"Market order: O01943, 10:26:20, BUY, 500"
"Market order: O01944, 10:26:23, SELL, 200"
"Market order: O01945, 10:26:26, SELL, 200"
"Market order: O01946, 10:26:27, SELL, 700"
"Market order: O01947, 10:26:30, SELL, 300"
"Market order: O01948, 10:26:32, SELL, 300"
"Add limit order: O01949, 10:26:33, BUY, 400, $ 25.43"
"Add limit order: O01950, 10:26:34, BUY, 100, $ 28.28"
"Market order: O01951, 10:26:39, BUY, 800"
"Market order: O01952, 10:26:42, SELL, 900"
"Add limit order: O01953, 10:26:45, SELL, 200, $ 44.68"
"Add limit order: O01954, 10:26:46, BUY, 400, $ 30.4"
"Market order: O01955, 10:26:47, SELL, 100"
"Add limit order: O01956, 10:26:48, SELL, 100, $ 37.41"
"Add limit order: O01957, 10:26:52, BUY, 100, $ 31.87"
"Market order: O01958, 10:26:54, SELL, 500"
"Market order: O01959, 10:26:56, SELL, 300"
"Market order: O01960, 10:26:58, SELL, 300"
"Market order: O01961, 10:26:59, SELL, 100"
"Market order: O01962, 10:27:00, BUY, 400"
"Market order: O01963, 10:27:02, BUY, 300"
"Add limit order: O01964, 10:27:04, SELL, 400, $ 36.99"
"Market order: O01965, 10:27:05, SELL, 500"
"Add limit order: O01966, 10:27:06, BUY, 100, $ 33.47"
"Add limit order: O01967, 10:27:07, SELL, 600, $ 39.16"
"Market order: O01968, 10:27:08, BUY, 600"
"Add limit order: O01969, 10:27:10, BUY, 300, $ 25.99"
"Market order: O01970, 10:27:11, BUY, 200"
"Add limit order: O01971, 10:27:13, BUY, 300, $ 25.21"
"Add limit order: O01972, 10:27:15, BUY, 100, $ 25.73"
"Add limit order: O01973, 10:27:16, BUY, 400, $ 29.24"
"Add limit order: O01974, 10:27:18, SELL, 100, $ 35.9"
"Add limit order: O01975, 10:27:21, SELL, 300, $ 35.51"
"Market order: O01976, 10:27:23, SELL, 400"
"Add limit order: O01977, 10:27:24, BUY, 600, $ 27.02"
"Market order: O01978, 10:27:25, SELL, 400"
"Market order: O01979, 10:27:26, BUY, 400"
"Add limit order: O01980, 10:27:29, BUY, 800, $ 29.49"
"Market order: O01981, 10:27:30, BUY, 100"
"Cancel: O01113, 10:02:01, BUY, 300, $ 25.46"
"Add limit order: O01982, 10:27:34, SELL, 200, $ 37.99"
"Market order: O01983, 10:27:37, BUY, 300"
"Market order: O01984, 10:27:41, SELL, 700"
"Market order: O01985, 10:27:43, BUY, 300"
"Add limit order: O01986, 10:27:45, BUY, 400, $ 31.67"
"Add limit order: O01987, 10:27:46, SELL, 500, $ 43.12"
"Add limit order: O01988, 10:27:47, SELL, 100, $ 38.55"
"Market order: O01989, 10:27:49, BUY, 200"
"Market order: O01990, 10:27:50, SELL, 600"
"Add limit order: O01991, 10:27:51, BUY, 200, $ 27.05"
"Market order: O01992, 10:27:52, SELL, 300"
"Add limit order: O01993, 10:27:55, SELL, 900, $ 37.67"
"Market order: O01994, 10:27:56, BUY, 200"
"Market order: O01995, 10:28:00, SELL, 200"
"Market order: O01996, 10:28:01, BUY, 300"
"Market order: O01997, 10:28:02, BUY, 300"
"Market order: O01998, 10:28:03, SELL, 400"
"Market order: O01999, 10:28:04, SELL, 700"
"Add limit order: O02000, 10:28:05, SELL, 400, $ 36.88"
"Add limit order: O02001, 10:28:06, SELL, 900, $ 44.27"
"Market order: O02002, 10:28:07, BUY, 300"
"Add limit order: O02003, 10:28:09, SELL, 400, $ 43.91"
"Add limit order: O02004, 10:28:10, BUY, 300, $ 33.72"
"Add limit order: O02005, 10:28:12, BUY, 100, $ 25.13"
"Market order: O02006, 10:28:14, BUY, 300"
"Market order: O02007, 10:28:18, SELL, 600"
"Market order: O02008, 10:28:19, BUY, 100"
"Market order: O02009, 10:28:20, SELL, 400"
"Add limit order: O02010, 10:28:22, SELL, 200, $ 40.39"
"Market order: O02011, 10:28:23, SELL, 200"
"Cancel: O00341, 09:39:48, BUY, 600, $ 26.23"
"Market order: O02012, 10:28:26, SELL, 500"
"Market order: O02013, 10:28:27, BUY, 200"
"Market order: O02014, 10:28:28, BUY, 200"
"Add limit order: O02015, 10:28:29, BUY, 400, $ 28.27"
"Cancel: O00009, 09:30:14, BUY, 300, $ 25.72"
"Add limit order: O02016, 10:28:31, BUY, 400, $ 33.36"
"Market order: O02017, 10:28:32, BUY, 700"
"Market order: O02018, 10:28:33, SELL, 700"
"Market order: O02019, 10:28:36, BUY, 100"
"Market order: O02020, 10:28:37, SELL, 500"
"Add limit order: O02021, 10:28:38, SELL, 600, $ 39.31"
"Add limit order: O02022, 10:28:39, SELL, 100, $ 39.62"
"Add limit order: O02023, 10:28:41, SELL, 100, $ 43.52"
"Add limit order: O02024, 10:28:45, SELL, 600, $ 41.93"
"Cancel: O00092, 09:32:57, SELL, 300, $ 43.38"
"Add limit order: O02025, 10:28:47, BUY, 500, $ 34.28"
"Market order: O02026, 10:28:49, SELL, 200"
"Add limit order: O02027, 10:28:50, SELL, 100, $ 37.28"
"Market order: O02028, 10:28:51, BUY, 200"
"Market order: O02029, 10:28:57, BUY, 300"
"Add limit order: O02030, 10:28:58, SELL, 200, $ 44.51"
"Add limit order: O02031, 10:28:59, BUY, 300, $ 33.52"
"Market order: O02032, 10:29:00, BUY, 600"
"Add limit order: O02033, 10:29:01, BUY, 100, $ 29.92"
"Add limit order: O02034, 10:29:03, BUY, 100, $ 31.69"
"Cancel: O01158, 10:03:24, BUY, 800, $ 27.18"
"Market order: O02035, 10:29:06, SELL, 200"
"Market order: O02036, 10:29:07, SELL, 900"
"Market order: O02037, 10:29:10, SELL, 400"
"Add limit order: O02038, 10:29:13, BUY, 300, $ 27.06"
"Market order: O02039, 10:29:15, BUY, 700"
"Add limit order: O02040, 10:29:17, SELL, 400, $ 41.39"
"Market order: O02041, 10:29:18, SELL, 400"
"Add limit order: O02042, 10:29:19, SELL, 800, $ 41.6"
"Add limit order: O02043, 10:29:20, SELL, 300, $ 37.81"
"Add limit order: O02044, 10:29:21, SELL, 400, $ 37.42"
"Add limit order: O02045, 10:29:24, SELL, 200, $ 40.34"
"Market order: O02046, 10:29:25, BUY, 400"
"Add limit order: O02047, 10:29:26, SELL, 400, $ 43.9"
"Add limit order: O02048, 10:29:27, SELL, 200, $ 38.81"
"Add limit order: O02049, 10:29:28, BUY, 500, $ 26.84"
"Market order: O02050, 10:29:32, BUY, 300"
"Add limit order: O02051, 10:29:39, SELL, 600, $ 42.05"
"Add limit order: O02052, 10:29:40, SELL, 400, $ 43.22"
"Market order: O02053, 10:29:42, SELL, 200"
"Add limit order: O02054, 10:29:43, BUY, 600, $ 27.75"
"Market order: O02055, 10:29:45, BUY, 200"
"Add limit order: O02056, 10:29:47, BUY, 300, $ 31.32"
"Market order: O02057, 10:29:48, BUY, 600"
"Add limit order: O02058, 10:29:49, BUY, 400, $ 27.61"
"Add limit order: O02059, 10:29:51, SELL, 200, $ 39.87"
"Market order: O02060, 10:29:52, BUY, 100"
"Market order: O02061, 10:29:54, BUY, 800"
"Market order: O02062, 10:29:55, BUY, 100"
"Market order: O02063, 10:29:56, SELL, 100"
"Add limit order: O02064, 10:30:01, BUY, 200, $ 25.7"
"Add limit order: O02065, 10:30:03, BUY, 300, $ 28.62"
"Add limit order: O02066, 10:30:04, SELL, 600, $ 41.3"
"Market order: O02067, 10:30:06, BUY, 900"
"Market order: O02068, 10:30:07, SELL, 300"
"Add limit order: O02069, 10:30:11, SELL, 400, $ 38.25"
"Add limit order: O02070, 10:30:16, BUY, 300, $ 29.05"
"Add limit order: O02071, 10:30:20, BUY, 500, $ 25.55"
"Add limit order: O02072, 10:30:21, BUY, 100, $ 28.89"
"Cancel: O00761, 09:52:12, SELL, 300, $ 44.39"
"Add limit order: O02073, 10:30:24, BUY, 500, $ 31.8"
"Add limit order: O02074, 10:30:25, SELL, 500, $ 43.3"
"Market order: O02075, 10:30:26, SELL, 200"
"Market order: O02076, 10:30:27, SELL, 100"
"Market order: O02077, 10:30:29, SELL, 200"
"Cancel: O01780, 10:21:31, SELL, 400, $ 43.14"
"Add limit order: O02078, 10:30:31, BUY, 500, $ 29.53"
"Add limit order: O02079, 10:30:34, BUY, 600, $ 34.62"
"Add limit order: O02080, 10:30:35, BUY, 300, $ 32.82"
"Market order: O02081, 10:30:36, SELL, 100"
"Cancel: O00262, 09:37:49, BUY, 500, $ 27.63"
"Market order: O02082, 10:30:38, SELL, 300"
"Market order: O02083, 10:30:39, BUY, 400"
"Market order: O02084, 10:30:40, SELL, 200"
"Add limit order: O02085, 10:30:41, BUY, 400, $ 26.73"
"Market order: O02086, 10:30:43, BUY, 400"
"Market order: O02087, 10:30:44, SELL, 300"
"Add limit order: O02088, 10:30:48, SELL, 100, $ 43.22"
"Add limit order: O02089, 10:30:49, BUY, 700, $ 30.3"
"Add limit order: O02090, 10:30:52, BUY, 300, $ 30.34"
"Add limit order: O02091, 10:30:54, BUY, 900, $ 31.51"
"Add limit order: O02092, 10:30:56, BUY, 300, $ 27.05"
"Add limit order: O02093, 10:30:57, SELL, 100, $ 39.84"
"Market order: O02094, 10:30:58, SELL, 100"
"Add limit order: O02095, 10:30:59, SELL, 300, $ 44.75"
"Market order: O02096, 10:31:00, BUY, 200"
"Add limit order: O02097, 10:31:02, BUY, 100, $ 27.86"
"Market order: O02098, 10:31:04, SELL, 200"
"Market order: O02099, 10:31:05, BUY, 200"
"Market order: O02100, 10:31:07, SELL, 400"
"Market order: O02101, 10:31:10, BUY, 200"
"Add limit order: O02102, 10:31:11, BUY, 100, $ 31.22"
"Market order: O02103, 10:31:12, SELL, 500"
"Market order: O02104, 10:31:16, SELL, 700"
"Add limit order: O02105, 10:31:17, SELL, 300, $ 42.53"
"Market order: O02106, 10:31:18, BUY, 500"
"Market order: O02107, 10:31:20, SELL, 200"
"Add limit order: O02108, 10:31:21, SELL, 300, $ 41.54"
"Market order: O02109, 10:31:22, SELL, 200"
"Add limit order: O02110, 10:31:23, SELL, 100, $ 43.58"
"Add limit order: O02111, 10:31:25, BUY, 300, $ 33.5"
"Market order: O02112, 10:31:26, BUY, 100"
"Add limit order: O02113, 10:31:28, BUY, 500, $ 34.78"
"Market order: O02114, 10:31:29, SELL, 400"
"Add limit order: O02115, 10:31:31, SELL, 200, $ 40.4"
"Add limit order: O02116, 10:31:33, BUY, 200, $ 28.13"
"Add limit order: O02117, 10:31:34, BUY, 200, $ 34.89"
"Add limit order: O02118, 10:31:35, BUY, 100, $ 30.89"
"Market order: O02119, 10:31:40, BUY, 600"
"Add limit order: O02120, 10:31:45, SELL, 100, $ 35.29"
"Add limit order: O02121, 10:31:46, BUY, 600, $ 30.2"
"Add limit order: O02122, 10:31:49, SELL, 500, $ 36.72"
"Add limit order: O02123, 10:31:50, BUY, 100, $ 33.51"
"Market order: O02124, 10:31:51, BUY, 300"
"Market order: O02125, 10:31:53, SELL, 400"
"Market order: O02126, 10:31:55, SELL, 200"
"Market order: O02127, 10:31:56, BUY, 400"
"Add limit order: O02128, 10:31:57, SELL, 500, $ 37.14"
"Add limit order: O02129, 10:31:58, BUY, 300, $ 25.73"
"Market order: O02130, 10:31:59, SELL, 900"
"Add limit order: O02131, 10:32:00, SELL, 900, $ 43.32"
"Market order: O02132, 10:32:01, BUY, 600"
"Market order: O02133, 10:32:02, SELL, 600"
"Add limit order: O02134, 10:32:05, SELL, 100, $ 37.32"
"Market order: O02135, 10:32:07, SELL, 900"
"Add limit order: O02136, 10:32:10, SELL, 900, $ 44.33"
"Market order: O02137, 10:32:11, BUY, 400"
"Add limit order: O02138, 10:32:13, SELL, 100, $ 40.89"
"Add limit order: O02139, 10:32:14, BUY, 100, $ 34.81"
"Add limit order: O02140, 10:32:15, SELL, 800, $ 41.38"
"Add limit order: O02141, 10:32:16, BUY, 600, $ 25.6"
"Cancel: O00502, 09:44:30, SELL, 200, $ 43.9"
"Market order: O02142, 10:32:19, SELL, 700"
"Add limit order: O02143, 10:32:21, BUY, 600, $ 32.92"
"Add limit order: O02144, 10:32:22, BUY, 600, $ 28.34"
"Market order: O02145, 10:32:23, SELL, 600"
"Market order: O02146, 10:32:24, BUY, 500"
"Add limit order: O02147, 10:32:25, SELL, 300, $ 37.35"
"Add limit order: O02148, 10:32:26, BUY, 200, $ 32.71"
"Market order: O02149, 10:32:27, SELL, 400"
"Market order: O02150, 10:32:28, SELL, 300"
"Add limit order: O02151, 10:32:29, BUY, 400, $ 32.63"
"Market order: O02152, 10:32:32, SELL, 100"
"Add limit order: O02153, 10:32:34, BUY, 200, $ 30.67"
"Add limit order: O02154, 10:32:36, SELL, 100, $ 41.21"
"Add limit order: O02155, 10:32:37, BUY, 100, $ 25.93"
"Market order: O02156, 10:32:38, SELL, 700"
"Add limit order: O02157, 10:32:40, SELL, 400, $ 41.29"
"Market order: O02158, 10:32:41, BUY, 300"
"Add limit order: O02159, 10:32:42, SELL, 400, $ 41.83"
"Add limit order: O02160, 10:32:44, SELL, 300, $ 40.99"
"Cancel: O00675, 09:49:36, SELL, 100, $ 44.04"
"Add limit order: O02161, 10:32:48, SELL, 600, $ 37.73"
"Add limit order: O02162, 10:32:50, SELL, 500, $ 37.76"
"Market order: O02163, 10:32:51, BUY, 100"
"Add limit order: O02164, 10:32:55, SELL, 300, $ 40.53"
"Market order: O02165, 10:32:56, BUY, 200"
"Market order: O02166, 10:32:58, SELL, 100"
"Add limit order: O02167, 10:32:59, SELL, 600, $ 43.41"
"Market order: O02168, 10:33:00, BUY, 200"
"Market order: O02169, 10:33:01, SELL, 100"
"Market order: O02170, 10:33:02, SELL, 100"
"Market order: O02171, 10:33:04, SELL, 400"
"Market order: O02172, 10:33:06, SELL, 300"
"Add limit order: O02173, 10:33:08, SELL, 400, $ 43.51"
"Cancel: O01738, 10:20:17, BUY, 700, $ 26.29"
"Market order: O02174, 10:33:14, BUY, 600"
"Add limit order: O02175, 10:33:15, BUY, 300, $ 34.06"
"Add limit order: O02176, 10:33:16, BUY, 200, $ 30.06"
"Market order: O02177, 10:33:18, SELL, 400"
"Add limit order: O02178, 10:33:21, SELL, 200, $ 42.48"
"Add limit order: O02179, 10:33:22, SELL, 400, $ 42.67"
"Market order: O02180, 10:33:23, BUY, 300"
"Add limit order: O02181, 10:33:24, BUY, 300, $ 27.07"
"Add limit order: O02182, 10:33:27, SELL, 400, $ 41.63"
"Add limit order: O02183, 10:33:28, BUY, 300, $ 33.09"
"Market order: O02184, 10:33:30, BUY, 200"
"Add limit order: O02185, 10:33:31, BUY, 400, $ 28.21"
"Add limit order: O02186, 10:33:34, BUY, 400, $ 32.2"
"Add limit order: O02187, 10:33:38, SELL, 400, $ 38.39"
"Market order: O02188, 10:33:39, BUY, 100"
"Market order: O02189, 10:33:40, BUY, 100"
"Cancel: O00648, 09:48:44, BUY, 600, $ 26.45"
"Market order: O02190, 10:33:42, SELL, 400"
"Add limit order: O02191, 10:33:43, BUY, 400, $ 34.71"
"Market order: O02192, 10:33:44, SELL, 200"
"Market order: O02193, 10:33:45, SELL, 800"
"Add limit order: O02194, 10:33:48, SELL, 600, $ 35.48"
"Cancel: O02129, 10:31:58, BUY, 300, $ 25.73"
"Market order: O02195, 10:33:52, BUY, 100"
"Market order: O02196, 10:33:53, BUY, 200"
"Market order: O02197, 10:33:56, BUY, 200"
"Add limit order: O02198, 10:33:57, BUY, 400, $ 30.31"
"Add limit order: O02199, 10:34:00, BUY, 400, $ 33.08"
"Add limit order: O02200, 10:34:02, SELL, 100, $ 39.21"
"Add limit order: O02201, 10:34:03, SELL, 100, $ 41.51"
"Add limit order: O02202, 10:34:07, SELL, 500, $ 43.65"
"Add limit order: O02203, 10:34:08, SELL, 200, $ 41.17"
"Market order: O02204, 10:34:09, BUY, 400"
"Market order: O02205, 10:34:10, BUY, 600"
"Add limit order: O02206, 10:34:11, SELL, 200, $ 43.72"
"Add limit order: O02207, 10:34:12, SELL, 100, $ 35.6"
"Market order: O02208, 10:34:14, BUY, 500"
"Add limit order: O02209, 10:34:15, SELL, 500, $ 42.89"
"Market order: O02210, 10:34:16, SELL, 800"
"Market order: O02211, 10:34:17, SELL, 400"
"Cancel: O00729, 09:51:21, SELL, 500, $ 44.53"
"Add limit order: O02212, 10:34:22, BUY, 200, $ 26.78"
"Add limit order: O02213, 10:34:23, SELL, 400, $ 41.16"
"Add limit order: O02214, 10:34:24, BUY, 300, $ 34.04"
"Market order: O02215, 10:34:25, SELL, 200"
"Add limit order: O02216, 10:34:26, SELL, 100, $ 37.53"
"Market order: O02217, 10:34:28, BUY, 100"
"Market order: O02218, 10:34:29, BUY, 100"
"Market order: O02219, 10:34:33, BUY, 300"
"Add limit order: O02220, 10:34:34, BUY, 700, $ 27.11"
"Market order: O02221, 10:34:35, SELL, 300"
"Add limit order: O02222, 10:34:36, BUY, 100, $ 32.19"
"Add limit order: O02223, 10:34:39, SELL, 300, $ 39.45"
"Market order: O02224, 10:34:40, BUY, 300"
"Add limit order: O02225, 10:34:41, BUY, 500, $ 33.3"
"Market order: O02226, 10:34:42, SELL, 400"
"Add limit order: O02227, 10:34:43, SELL, 500, $ 38.35"
"Add limit order: O02228, 10:34:44, BUY, 900, $ 28.87"
"Market order: O02229, 10:34:45, BUY, 100"
"Add limit order: O02230, 10:34:46, BUY, 400, $ 34.52"
"Market order: O02231, 10:34:49, SELL, 400"
"Market order: O02232, 10:34:50, BUY, 500"
"Add limit order: O02233, 10:34:51, SELL, 200, $ 37.01"
"Add limit order: O02234, 10:34:53, BUY, 100, $ 31.12"
"Market order: O02235, 10:34:54, SELL, 300"
"Add limit order: O02236, 10:34:55, BUY, 600, $ 32.53"
"Add limit order: O02237, 10:34:56, BUY, 900, $ 25.14"
"Add limit order: O02238, 10:34:57, BUY, 400, $ 30.51"
"Add limit order: O02239, 10:34:58, SELL, 100, $ 40.96"
"Add limit order: O02240, 10:34:59, BUY, 500, $ 27.15"
"Cancel: O01552, 10:14:48, SELL, 100, $ 44.06"
"Add limit order: O02241, 10:35:01, SELL, 600, $ 40.8"
"Market order: O02242, 10:35:03, SELL, 100"
"Add limit order: O02243, 10:35:04, SELL, 100, $ 41.16"
"Cancel: O00181, 09:35:32, BUY, 100, $ 27.44"
"Add limit order: O02244, 10:35:07, SELL, 100, $ 43.95"
"Add limit order: O02245, 10:35:08, BUY, 100, $ 27.1"
"Add limit order: O02246, 10:35:09, SELL, 300, $ 39.52"
"Market order: O02247, 10:35:10, BUY, 100"
"Add limit order: O02248, 10:35:11, BUY, 700, $ 27.1"
"Add limit order: O02249, 10:35:12, BUY, 400, $ 26.85"
"Add limit order: O02250, 10:35:13, BUY, 100, $ 31.01"
"Cancel: O01581, 10:15:33, SELL, 300, $ 43.88"
"Market order: O02251, 10:35:18, SELL, 200"
