"Market order: O00001, 09:30:01, BUY, 900"
"Market order: O00002, 09:30:05, SELL, 700"
"Add limit order: O02762, 10:49:25, BUY, 200, $ 28.67"
"Add limit order: O02763, 10:49:26, SELL, 600, $ 44.78"
"Market order: O02764, 10:49:28, SELL, 600"
"Market order: O02765, 10:49:29, BUY, 500"
"Add limit order: O02766, 10:49:33, BUY, 100, $ 33.67"
"Add limit order: O02767, 10:49:34, BUY, 200, $ 33.42"
"Add limit order: O02768, 10:49:38, BUY, 300, $ 33.23"
"Add limit order: O02769, 10:49:39, SELL, 300, $ 39.85"
"Add limit order: O02770, 10:49:40, SELL, 300, $ 42.22"
"Market order: O02771, 10:49:41, BUY, 500"
"Add limit order: O02772, 10:49:44, SELL, 300, $ 43.75"
"Add limit order: O02773, 10:49:45, SELL, 600, $ 43.49"
"Market order: O02774, 10:49:46, SELL, 200"
"Add limit order: O02775, 10:49:47, SELL, 400, $ 38.87"
"Market order: O02776, 10:49:50, SELL, 200"
"Add limit order: O02777, 10:49:51, BUY, 500, $ 29.82"
"Market order: O02778, 10:49:52, SELL, 200"
"Add limit order: O02779, 10:49:53, BUY, 200, $ 30.47"
"Add limit order: O02780, 10:49:54, BUY, 300, $ 32.11"
"Market order: O02781, 10:49:57, SELL, 300"
"Market order: O02782, 10:49:58, BUY, 500"
"Add limit order: O02783, 10:49:59, BUY, 700, $ 33.57"
"Market order: O02784, 10:50:00, SELL, 500"
"Market order: O02785, 10:50:01, BUY, 400"
"Add limit order: O02786, 10:50:03, SELL, 400, $ 37.05"
"Add limit order: O02787, 10:50:04, BUY, 500, $ 29.02"
"Cancel: O01189, 10:04:38, SELL, 600, $ 44.11"
"Add limit order: O02788, 10:50:07, BUY, 900, $ 30.23"
"Market order: O02789, 10:50:08, SELL, 800"
"Add limit order: O02790, 10:50:09, SELL, 200, $ 39.81"
"Add limit order: O02791, 10:50:13, BUY, 100, $ 27.18"
"Cancel: O00154, 09:34:36, SELL, 500, $ 43.04"
"Market order: O02792, 10:50:18, BUY, 100"
"Add limit order: O02793, 10:50:19, SELL, 700, $ 35.31"
"Add limit order: O02794, 10:50:20, BUY, 600, $ 29.04"
"Market order: O02795, 10:50:22, BUY, 500"
"Market order: O02796, 10:50:24, BUY, 200"
"Market order: O02797, 10:50:26, SELL, 200"
"Add limit order: O02798, 10:50:27, SELL, 900, $ 36.88"
"Add limit order: O02799, 10:50:29, BUY, 200, $ 29.15"
"Add limit order: O02800, 10:50:30, BUY, 600, $ 32.24"
"Market order: O02801, 10:50:32, SELL, 800"
"Add limit order: O02802, 10:50:33, BUY, 400, $ 26.02"
"Market order: O02803, 10:50:35, BUY, 300"
"Market order: O02804, 10:50:36, BUY, 100"
"Add limit order: O02805, 10:50:40, BUY, 200, $ 26.96"
"Market order: O02806, 10:50:41, BUY, 400"
"Market order: O02807, 10:50:43, SELL, 200"
"Market order: O02808, 10:50:44, SELL, 900"
"Market order: O02809, 10:50:47, SELL, 700"
"Market order: O02810, 10:50:48, BUY, 500"
"Add limit order: O02811, 10:50:49, SELL, 700, $ 35.95"
"Add limit order: O02812, 10:50:50, BUY, 600, $ 32.56"
"Add limit order: O02813, 10:50:52, BUY, 400, $ 28.42"
"Cancel: O00018, 09:30:36, BUY, 600, $ 25.82"
"Market order: O02814, 10:50:55, SELL, 400"
"Market order: O02815, 10:50:56, SELL, 300"
"Market order: O02816, 10:51:00, BUY, 100"
"Add limit order: O02817, 10:51:02, BUY, 600, $ 30.31"
"Add limit order: O02818, 10:51:03, SELL, 900, $ 38.27"
"Add limit order: O02819, 10:51:05, BUY, 500, $ 29.0"
"Add limit order: O02820, 10:51:09, SELL, 100, $ 41.17"
"Market order: O02821, 10:51:12, BUY, 800"
"Add limit order: O02822, 10:51:13, BUY, 400, $ 27.6"
"Add limit order: O02823, 10:51:14, BUY, 900, $ 28.13"
"Add limit order: O02824, 10:51:16, SELL, 400, $ 44.85"
"Add limit order: O02825, 10:51:18, BUY, 400, $ 32.61"
"Add limit order: O02826, 10:51:19, SELL, 300, $ 37.46"
"Add limit order: O02827, 10:51:20, SELL, 400, $ 41.35"
"Market order: O02828, 10:51:22, BUY, 200"
"Market order: O02829, 10:51:23, BUY, 300"
"Add limit order: O02830, 10:51:24, BUY, 500, $ 27.32"
"Market order: O02831, 10:51:25, SELL, 600"
"Market order: O02832, 10:51:28, SELL, 400"
"Add limit order: O02833, 10:51:29, BUY, 100, $ 31.21"
"Market order: O02834, 10:51:30, SELL, 200"
"Add limit order: O02835, 10:51:31, SELL, 500, $ 37.17"
"Market order: O02836, 10:51:32, BUY, 100"
"Add limit order: O02837, 10:51:33, SELL, 600, $ 42.3"
"Add limit order: O02838, 10:51:35, BUY, 300, $ 32.75"
"Add limit order: O02839, 10:51:38, SELL, 200, $ 37.31"
"Market order: O02840, 10:51:39, SELL, 500"
"Market order: O02841, 10:51:40, SELL, 200"
"Add limit order: O02842, 10:51:45, SELL, 600, $ 42.08"
"Add limit order: O02843, 10:51:46, SELL, 100, $ 40.47"
"Add limit order: O02844, 10:51:48, SELL, 300, $ 43.54"
"Add limit order: O02845, 10:51:49, SELL, 700, $ 43.33"
"Add limit order: O02846, 10:51:50, SELL, 300, $ 43.43"
"Add limit order: O02847, 10:51:51, SELL, 300, $ 44.83"
"Add limit order: O02848, 10:51:52, BUY, 800, $ 33.18"
"Add limit order: O02849, 10:51:54, SELL, 400, $ 38.06"
"Market order: O02850, 10:51:56, SELL, 500"
"Market order: O02851, 10:51:58, BUY, 200"
"Market order: O02852, 10:52:03, BUY, 600"
"Market order: O02853, 10:52:04, SELL, 100"
"Market order: O02854, 10:52:05, BUY, 400"
"Market order: O02855, 10:52:06, SELL, 300"
"Add limit order: O02856, 10:52:07, SELL, 600, $ 44.25"
"Add limit order: O02857, 10:52:08, BUY, 200, $ 33.27"
"Add limit order: O02858, 10:52:09, BUY, 300, $ 34.71"
"Market order: O02859, 10:52:10, SELL, 200"
"Add limit order: O02860, 10:52:12, SELL, 100, $ 44.22"
"Add limit order: O02861, 10:52:13, SELL, 900, $ 42.62"
"Market order: O02862, 10:52:15, SELL, 400"
"Market order: O02863, 10:52:16, BUY, 700"
"Add limit order: O02864, 10:52:17, BUY, 500, $ 28.7"
"Add limit order: O02865, 10:52:18, SELL, 200, $ 39.44"
"Add limit order: O02866, 10:52:19, SELL, 100, $ 44.17"
"Add limit order: O02867, 10:52:20, BUY, 700, $ 28.9"
"Market order: O02868, 10:52:21, SELL, 600"
"Add limit order: O02869, 10:52:23, BUY, 600, $ 26.34"
"Market order: O02870, 10:52:24, SELL, 400"
"Add limit order: O02871, 10:52:26, BUY, 100, $ 29.31"
"Market order: O02872, 10:52:27, SELL, 500"
"Add limit order: O02873, 10:52:30, SELL, 700, $ 40.94"
"Market order: O02874, 10:52:32, BUY, 200"
"Market order: O02875, 10:52:33, BUY, 500"
"Market order: O02876, 10:52:37, SELL, 400"
"Add limit order: O02877, 10:52:38, SELL, 200, $ 39.29"
"Add limit order: O02878, 10:52:39, SELL, 200, $ 44.14"
"Add limit order: O02879, 10:52:40, SELL, 900, $ 40.65"
"Add limit order: O02880, 10:52:42, SELL, 300, $ 42.41"
"Add limit order: O02881, 10:52:43, BUY, 100, $ 27.97"
"Market order: O02882, 10:52:44, BUY, 200"
"Market order: O02883, 10:52:47, SELL, 100"
"Market order: O02884, 10:52:50, SELL, 200"
"Market order: O02885, 10:52:51, BUY, 200"
"Add limit order: O02886, 10:52:52, SELL, 400, $ 36.93"
"Add limit order: O02887, 10:52:54, SELL, 200, $ 39.2"
"Add limit order: O02888, 10:52:55, BUY, 500, $ 31.55"
"Add limit order: O02889, 10:52:56, BUY, 100, $ 33.96"
"Add limit order: O02890, 10:52:57, BUY, 200, $ 30.59"
"Add limit order: O02891, 10:52:58, SELL, 300, $ 40.85"
"Add limit order: O02892, 10:53:04, BUY, 700, $ 33.62"
"Market order: O02893, 10:53:08, BUY, 200"
"Add limit order: O02894, 10:53:12, SELL, 500, $ 41.95"
"Add limit order: O02895, 10:53:13, BUY, 400, $ 34.0"
"Market order: O02896, 10:53:14, BUY, 400"
"Add limit order: O02897, 10:53:17, SELL, 600, $ 37.8"
"Add limit order: O02898, 10:53:18, BUY, 400, $ 34.01"
"Add limit order: O02899, 10:53:20, BUY, 500, $ 29.45"
"Market order: O02900, 10:53:23, BUY, 500"
"Add limit order: O02901, 10:53:24, SELL, 200, $ 44.16"
"Add limit order: O02902, 10:53:25, BUY, 100, $ 30.48"
"Add limit order: O02903, 10:53:26, SELL, 200, $ 37.15"
"Add limit order: O02904, 10:53:28, SELL, 300, $ 40.7"
"Add limit order: O02905, 10:53:30, BUY, 300, $ 34.39"
"Market order: O02906, 10:53:31, SELL, 100"
"Market order: O02907, 10:53:34, BUY, 300"
"Market order: O02908, 10:53:36, SELL, 100"
"Add limit order: O02909, 10:53:38, BUY, 200, $ 31.64"
"Market order: O02910, 10:53:39, BUY, 900"
"Market order: O02911, 10:53:40, SELL, 400"
"Market order: O02912, 10:53:42, BUY, 200"
"Market order: O02913, 10:53:43, BUY, 100"
"Add limit order: O02914, 10:53:47, BUY, 400, $ 25.77"
"Market order: O02915, 10:53:48, SELL, 300"
"Market order: O02916, 10:53:49, SELL, 900"
"Add limit order: O02917, 10:53:50, SELL, 200, $ 44.99"
"Add limit order: O02918, 10:53:52, BUY, 100, $ 28.1"
"Market order: O02919, 10:53:53, SELL, 800"
"Market order: O02920, 10:53:55, SELL, 700"
"Add limit order: O02921, 10:53:56, BUY, 300, $ 31.13"
"Add limit order: O02922, 10:53:57, SELL, 500, $ 42.14"
"Market order: O02923, 10:53:58, SELL, 300"
"Add limit order: O02924, 10:53:59, SELL, 500, $ 42.89"
"Add limit order: O02925, 10:54:00, BUY, 600, $ 31.23"
"Market order: O02926, 10:54:01, BUY, 700"
"Add limit order: O02927, 10:54:03, SELL, 200, $ 39.55"
"Market order: O02928, 10:54:04, SELL, 100"
"Market order: O02929, 10:54:06, SELL, 700"
"Market order: O02930, 10:54:07, SELL, 400"
"Cancel: O00409, 09:42:07, BUY, 400, $ 27.7"
"Add limit order: O02931, 10:54:09, BUY, 200, $ 28.02"
"Market order: O02932, 10:54:10, BUY, 100"
"Add limit order: O02933, 10:54:11, BUY, 200, $ 26.67"
"Market order: O02934, 10:54:12, BUY, 900"
"Market order: O02935, 10:54:17, BUY, 400"
"Cancel: O01789, 10:21:39, SELL, 800, $ 44.28"
"Market order: O02936, 10:54:19, SELL, 400"
"Market order: O02937, 10:54:21, SELL, 100"
"Add limit order: O02938, 10:54:22, BUY, 100, $ 34.71"
"Market order: O02939, 10:54:23, SELL, 600"
"Add limit order: O02940, 10:54:24, SELL, 200, $ 36.14"
"Add limit order: O02941, 10:54:25, SELL, 400, $ 41.44"
"Market order: O02942, 10:54:28, BUY, 100"
"Market order: O02943, 10:54:29, SELL, 600"
"Add limit order: O02944, 10:54:30, BUY, 800, $ 28.08"
"Add limit order: O02945, 10:54:34, BUY, 800, $ 27.58"
"Market order: O02946, 10:54:36, SELL, 500"
"Market order: O02947, 10:54:37, SELL, 200"
"Add limit order: O02948, 10:54:38, BUY, 300, $ 30.2"
"Market order: O02949, 10:54:39, BUY, 300"
"Add limit order: O02950, 10:54:40, BUY, 600, $ 32.62"
"Add limit order: O02951, 10:54:41, BUY, 400, $ 29.5"
"Add limit order: O02952, 10:54:44, BUY, 500, $ 34.34"
"Add limit order: O02953, 10:54:46, BUY, 200, $ 26.98"
"Add limit order: O02954, 10:54:47, BUY, 200, $ 31.22"
"Market order: O02955, 10:54:48, SELL, 500"
"Cancel: O00082, 09:32:34, BUY, 500, $ 26.68"
"Market order: O02956, 10:54:52, BUY, 500"
"Add limit order: O02957, 10:54:53, SELL, 200, $ 43.61"
"Add limit order: O02958, 10:54:54, SELL, 200, $ 42.71"
"Cancel: O00149, 09:34:29, SELL, 600, $ 43.92"
"Market order: O02959, 10:54:57, BUY, 500"
"Market order: O02960, 10:54:58, SELL, 400"
"Market order: O02961, 10:54:59, SELL, 100"
"Market order: O02962, 10:55:00, SELL, 200"
"Market order: O02963, 10:55:02, BUY, 600"
"Market order: O02964, 10:55:03, BUY, 100"
"Market order: O02965, 10:55:05, SELL, 800"
"Add limit order: O02966, 10:55:07, BUY, 100, $ 29.26"
"Add limit order: O02967, 10:55:09, BUY, 700, $ 29.48"
"Add limit order: O02968, 10:55:10, BUY, 100, $ 34.03"
"Cancel: O00841, 09:54:42, SELL, 600, $ 43.25"
"Market order: O02969, 10:55:13, SELL, 400"
"Add limit order: O02970, 10:55:15, SELL, 600, $ 42.33"
"Add limit order: O02971, 10:55:16, SELL, 100, $ 37.97"
"Market order: O02972, 10:55:19, SELL, 400"
"Add limit order: O02973, 10:55:21, SELL, 100, $ 38.98"
"Add limit order: O02974, 10:55:22, SELL, 400, $ 35.56"
"Add limit order: O02975, 10:55:24, SELL, 500, $ 43.77"
"Add limit order: O02976, 10:55:25, BUY, 100, $ 31.68"
"Market order: O02977, 10:55:26, BUY, 300"
"Add limit order: O02978, 10:55:27, SELL, 400, $ 35.81"
"Market order: O02979, 10:55:30, BUY, 200"
"Cancel: O02178, 10:32:43, BUY, 200, $ 27.37"
"Cancel: O01019, 09:59:31, BUY, 100, $ 26.29"
"Add limit order: O02980, 10:55:35, SELL, 300, $ 43.57"
"Add limit order: O02981, 10:55:37, SELL, 500, $ 44.97"
"Market order: O02982, 10:55:45, BUY, 100"
"Market order: O02983, 10:55:48, BUY, 200"
"Market order: O02984, 10:55:51, SELL, 300"
"Market order: O02985, 10:55:52, SELL, 700"
"Add limit order: O02986, 10:55:54, SELL, 400, $ 37.06"
"Cancel: O00506, 09:45:05, BUY, 400, $ 26.4"
"Add limit order: O02987, 10:55:57, SELL, 700, $ 42.23"
"Add limit order: O02988, 10:56:02, SELL, 400, $ 43.21"
"Add limit order: O02989, 10:56:04, SELL, 500, $ 38.65"
"Market order: O02990, 10:56:05, BUY, 200"
"Add limit order: O02991, 10:56:06, SELL, 300, $ 38.36"
"Add limit order: O02992, 10:56:07, BUY, 100, $ 32.24"
"Market order: O02993, 10:56:08, SELL, 100"
"Add limit order: O02994, 10:56:10, SELL, 300, $ 40.02"
"Add limit order: O02995, 10:56:11, BUY, 700, $ 28.83"
"Add limit order: O02996, 10:56:12, BUY, 100, $ 28.25"
"Add limit order: O02997, 10:56:14, BUY, 200, $ 32.07"
"Market order: O02998, 10:56:16, SELL, 300"
"Add limit order: O02999, 10:56:20, BUY, 700, $ 27.5"
"Add limit order: O03000, 10:56:22, BUY, 600, $ 25.34"
"Add limit order: O03001, 10:56:23, SELL, 200, $ 42.44"
"Cancel: O01146, 10:03:26, SELL, 500, $ 43.6"
"Add limit order: O03002, 10:56:27, SELL, 500, $ 36.82"
"Add limit order: O03003, 10:56:30, BUY, 200, $ 27.22"
"Add limit order: O03004, 10:56:31, BUY, 100, $ 33.2"
"Market order: O03005, 10:56:33, SELL, 800"
"Add limit order: O03006, 10:56:34, SELL, 400, $ 37.58"
"Market order: O03007, 10:56:35, BUY, 600"
"Market order: O03008, 10:56:36, SELL, 100"
"Add limit order: O03009, 10:56:37, BUY, 900, $ 31.94"
"Market order: O03010, 10:56:38, BUY, 200"
"Market order: O03011, 10:56:39, SELL, 200"
"Add limit order: O03012, 10:56:41, BUY, 400, $ 29.84"
"Add limit order: O03013, 10:56:43, BUY, 300, $ 25.63"
"Add limit order: O03014, 10:56:49, SELL, 900, $ 41.49"
"Add limit order: O03015, 10:56:51, BUY, 400, $ 29.96"
"Market order: O03016, 10:56:52, SELL, 200"
"Market order: O03017, 10:56:53, SELL, 400"
"Market order: O03018, 10:56:54, BUY, 200"
"Add limit order: O03019, 10:56:55, BUY, 700, $ 29.67"
"Add limit order: O03020, 10:56:56, SELL, 500, $ 40.33"
"Market order: O03021, 10:56:58, BUY, 600"
"Market order: O03022, 10:56:59, SELL, 300"
"Add limit order: O03023, 10:57:00, SELL, 500, $ 44.4"
"Market order: O03024, 10:57:01, SELL, 200"
"Market order: O03025, 10:57:03, SELL, 500"
"Cancel: O00741, 09:51:58, SELL, 400, $ 44.67"
"Market order: O03026, 10:57:08, SELL, 600"
"Add limit order: O03027, 10:57:10, BUY, 200, $ 32.65"
"Market order: O03028, 10:57:11, BUY, 300"
"Add limit order: O03029, 10:57:13, SELL, 400, $ 40.08"
"Market order: O03030, 10:57:15, SELL, 200"
"Cancel: O01699, 10:18:53, SELL, 300, $ 43.53"
"Market order: O03031, 10:57:17, BUY, 300"
"Add limit order: O03032, 10:57:19, SELL, 100, $ 42.83"
"Market order: O03033, 10:57:20, SELL, 400"
"Add limit order: O03034, 10:57:21, BUY, 400, $ 29.49"
"Add limit order: O03035, 10:57:22, SELL, 600, $ 37.58"
"Add limit order: O03036, 10:57:23, SELL, 400, $ 37.37"
"Add limit order: O03037, 10:57:25, SELL, 100, $ 40.85"
"Add limit order: O03038, 10:57:26, SELL, 400, $ 37.56"
"Market order: O03039, 10:57:27, BUY, 700"
"Add limit order: O03040, 10:57:29, SELL, 600, $ 42.85"
"Market order: O03041, 10:57:30, BUY, 500"
"Market order: O03042, 10:57:33, SELL, 200"
"Add limit order: O03043, 10:57:34, SELL, 300, $ 39.6"
"Add limit order: O03044, 10:57:35, SELL, 300, $ 35.92"
"Add limit order: O03045, 10:57:37, SELL, 700, $ 44.43"
"Add limit order: O03046, 10:57:39, SELL, 300, $ 40.5"
"Market order: O03047, 10:57:40, SELL, 100"
"Add limit order: O03048, 10:57:44, SELL, 300, $ 37.24"
"Add limit order: O03049, 10:57:46, SELL, 300, $ 44.46"
"Add limit order: O03050, 10:57:47, SELL, 600, $ 38.02"
"Market order: O03051, 10:57:48, BUY, 400"
"Add limit order: O03052, 10:57:49, SELL, 200, $ 42.79"
"Add limit order: O03053, 10:57:50, BUY, 200, $ 31.39"
"Add limit order: O03054, 10:57:52, BUY, 300, $ 26.09"
"Cancel: O00696, 09:50:36, SELL, 100, $ 43.23"
"Add limit order: O03055, 10:57:54, SELL, 100, $ 41.38"
"Add limit order: O03056, 10:57:56, BUY, 300, $ 29.0"
"Add limit order: O03057, 10:57:57, SELL, 400, $ 40.92"
"Add limit order: O03058, 10:57:58, BUY, 300, $ 28.47"
"Add limit order: O03059, 10:57:59, SELL, 800, $ 41.08"
"Add limit order: O03060, 10:58:00, SELL, 100, $ 42.0"
"Add limit order: O03061, 10:58:03, SELL, 400, $ 44.44"
"Market order: O03062, 10:58:04, SELL, 600"
"Market order: O03063, 10:58:06, SELL, 100"
"Add limit order: O03064, 10:58:08, SELL, 800, $ 44.38"
"Add limit order: O03065, 10:58:09, SELL, 400, $ 43.96"
"Add limit order: O03066, 10:58:10, SELL, 100, $ 39.68"
"Market order: O03067, 10:58:14, SELL, 400"
"Market order: O03068, 10:58:15, SELL, 600"
"Add limit order: O03069, 10:58:16, SELL, 900, $ 43.29"
"Market order: O03070, 10:58:18, BUY, 800"
"Market order: O03071, 10:58:19, SELL, 400"
"Add limit order: O03072, 10:58:20, SELL, 200, $ 38.88"
"Add limit order: O03073, 10:58:21, BUY, 400, $ 26.68"
"Add limit order: O03074, 10:58:23, SELL, 700, $ 38.96"
"Market order: O03075, 10:58:24, SELL, 200"
"Market order: O03076, 10:58:25, BUY, 300"
"Add limit order: O03077, 10:58:26, SELL, 100, $ 36.49"
"Market order: O03078, 10:58:28, SELL, 700"
"Add limit order: O03079, 10:58:29, SELL, 500, $ 38.22"
"Add limit order: O03080, 10:58:30, SELL, 200, $ 41.74"
"Market order: O03081, 10:58:31, BUY, 100"
"Market order: O03082, 10:58:32, BUY, 100"
"Market order: O03083, 10:58:38, BUY, 100"
"Cancel: O02584, 10:44:43, SELL, 400, $ 44.4"
"Add limit order: O03084, 10:58:43, BUY, 300, $ 26.5"
"Add limit order: O03085, 10:58:45, BUY, 700, $ 31.94"
"Add limit order: O03086, 10:58:46, BUY, 100, $ 26.63"
"Market order: O03087, 10:58:48, SELL, 600"
"Market order: O03088, 10:58:49, BUY, 700"
"Market order: O03089, 10:58:50, BUY, 300"
"Market order: O03090, 10:58:51, SELL, 700"
"Market order: O03091, 10:58:53, SELL, 200"
"Add limit order: O03092, 10:58:54, BUY, 600, $ 30.02"
"Add limit order: O03093, 10:58:55, BUY, 800, $ 26.14"
"Add limit order: O03094, 10:58:56, SELL, 100, $ 41.13"
"Add limit order: O03095, 10:58:57, BUY, 300, $ 26.02"
"Market order: O03096, 10:58:58, BUY, 100"
"Add limit order: O03097, 10:59:00, BUY, 200, $ 28.42"
"Add limit order: O03098, 10:59:01, SELL, 400, $ 43.44"
"Add limit order: O03099, 10:59:02, SELL, 900, $ 36.23"
"Market order: O03100, 10:59:03, SELL, 500"
"Add limit order: O03101, 10:59:04, SELL, 200, $ 43.86"
"Add limit order: O03102, 10:59:06, SELL, 300, $ 35.62"
"Add limit order: O03103, 10:59:07, BUY, 400, $ 31.89"
"Add limit order: O03104, 10:59:08, BUY, 800, $ 32.23"
"Add limit order: O03105, 10:59:09, BUY, 800, $ 32.05"
"Add limit order: O03106, 10:59:11, BUY, 700, $ 31.95"
"Market order: O03107, 10:59:12, SELL, 200"
"Market order: O03108, 10:59:13, BUY, 400"
"Add limit order: O03109, 10:59:14, BUY, 400, $ 31.5"
"Add limit order: O03110, 10:59:15, BUY, 600, $ 26.93"
"Market order: O03111, 10:59:17, SELL, 800"
"Cancel: O00570, 09:46:51, BUY, 200, $ 26.58"
"Market order: O03112, 10:59:19, SELL, 700"
"Add limit order: O03113, 10:59:20, SELL, 800, $ 41.88"
"Cancel: O02451, 10:41:04, BUY, 400, $ 25.34"
"Market order: O03114, 10:59:22, SELL, 300"
"Market order: O03115, 10:59:25, BUY, 100"
"Market order: O03116, 10:59:26, BUY, 300"
"Cancel: O00933, 09:57:11, SELL, 900, $ 43.28"
"Market order: O03117, 10:59:33, SELL, 300"
"Market order: O03118, 10:59:35, BUY, 300"
"Add limit order: O03119, 10:59:38, SELL, 100, $ 36.21"
"Market order: O03120, 10:59:39, BUY, 300"
"Market order: O03121, 10:59:40, SELL, 400"
"Market order: O03122, 10:59:41, BUY, 300"
"Add limit order: O03123, 10:59:42, SELL, 300, $ 41.39"
"Market order: O03124, 10:59:43, BUY, 800"
"Add limit order: O03125, 10:59:46, BUY, 500, $ 26.18"
"Add limit order: O03126, 10:59:48, SELL, 400, $ 35.19"
"Market order: O03127, 10:59:49, SELL, 100"
"Market order: O03128, 10:59:50, BUY, 800"
"Add limit order: O03129, 10:59:51, SELL, 100, $ 43.35"
"Add limit order: O03130, 10:59:54, SELL, 500, $ 41.76"
"Market order: O03131, 10:59:55, BUY, 200"
"Add limit order: O03132, 10:59:58, BUY, 800, $ 28.58"
"Add limit order: O03133, 10:59:59, BUY, 700, $ 27.59"
"Market order: O03134, 11:00:02, SELL, 100"
"Cancel: O02518, 10:42:56, BUY, 900, $ 27.23"
"Cancel: O02678, 10:47:09, BUY, 600, $ 26.84"
"Add limit order: O03135, 11:00:07, BUY, 400, $ 31.84"
"Cancel: O01177, 10:04:18, SELL, 500, $ 44.84"
"Add limit order: O03136, 11:00:10, SELL, 500, $ 35.25"
"Market order: O03137, 11:00:11, BUY, 600"
"Market order: O03138, 11:00:12, SELL, 400"
"Add limit order: O03139, 11:00:13, SELL, 200, $ 39.48"
"Market order: O03140, 11:00:15, BUY, 300"
"Add limit order: O03141, 11:00:16, SELL, 800, $ 38.63"
"Add limit order: O03142, 11:00:18, BUY, 500, $ 25.8"
"Add limit order: O03143, 11:00:19, BUY, 500, $ 25.75"
"Market order: O03144, 11:00:21, SELL, 900"
"Add limit order: O03145, 11:00:23, SELL, 400, $ 40.83"
"Market order: O03146, 11:00:24, SELL, 400"
"Add limit order: O03147, 11:00:25, SELL, 400, $ 40.83"
"Add limit order: O03148, 11:00:26, SELL, 900, $ 41.15"
"Market order: O03149, 11:00:29, BUY, 100"
"Add limit order: O03150, 11:00:31, SELL, 300, $ 42.34"
"Market order: O03151, 11:00:33, SELL, 400"
"Add limit order: O03152, 11:00:34, SELL, 500, $ 37.27"
"Market order: O03153, 11:00:36, SELL, 100"
"Add limit order: O03154, 11:00:37, BUY, 100, $ 28.3"
"Add limit order: O03155, 11:00:38, BUY, 900, $ 28.34"
"Market order: O03156, 11:00:39, SELL, 500"
"Market order: O03157, 11:00:40, SELL, 100"
"Market order: O03158, 11:00:42, SELL, 200"
"Add limit order: O03159, 11:00:44, BUY, 100, $ 31.14"
"Market order: O03160, 11:00:49, BUY, 400"
"Add limit order: O03161, 11:00:50, SELL, 400, $ 38.69"
"Add limit order: O03162, 11:00:53, BUY, 300, $ 33.3"
"Add limit order: O03163, 11:00:54, SELL, 200, $ 42.17"
"Add limit order: O03164, 11:00:56, BUY, 500, $ 28.14"
"Market order: O03165, 11:00:58, SELL, 100"
"Add limit order: O03166, 11:01:00, BUY, 500, $ 32.76"
"Market order: O03167, 11:01:01, SELL, 400"
"Add limit order: O03168, 11:01:02, BUY, 200, $ 27.83"
"Market order: O03169, 11:01:03, SELL, 400"
"Cancel: O00420, 09:42:24, SELL, 300, $ 44.56"
"Add limit order: O03170, 11:01:05, BUY, 300, $ 25.07"
"Add limit order: O03171, 11:01:07, BUY, 700, $ 32.82"
"Add limit order: O03172, 11:01:08, BUY, 300, $ 29.83"
"Add limit order: O03173, 11:01:09, BUY, 200, $ 27.68"
"Add limit order: O03174, 11:01:10, BUY, 200, $ 32.04"
"Add limit order: O03175, 11:01:11, SELL, 600, $ 35.63"
"Add limit order: O03176, 11:01:13, SELL, 100, $ 36.24"
"Market order: O03177, 11:01:14, BUY, 500"
"Add limit order: O03178, 11:01:15, BUY, 100, $ 27.13"
"Market order: O03179, 11:01:16, SELL, 400"
"Add limit order: O03180, 11:01:17, BUY, 100, $ 33.11"
"Market order: O03181, 11:01:19, SELL, 800"
"Cancel: O00010, 09:30:19, SELL, 300, $ 43.17"
"Add limit order: O03182, 11:01:21, SELL, 200, $ 35.3"
"Add limit order: O03183, 11:01:23, BUY, 300, $ 26.13"
"Add limit order: O03184, 11:01:25, SELL, 200, $ 36.67"
"Cancel: O02917, 10:53:50, SELL, 200, $ 44.99"
"Add limit order: O03185, 11:01:29, SELL, 100, $ 35.99"
"Add limit order: O03186, 11:01:31, SELL, 400, $ 39.0"
"Add limit order: O03187, 11:01:35, BUY, 500, $ 26.15"
"Add limit order: O03188, 11:01:37, BUY, 500, $ 26.12"
"Market order: O03189, 11:01:40, SELL, 500"
"Market order: O03190, 11:01:41, BUY, 200"
"Market order: O03191, 11:01:43, SELL, 400"
"Add limit order: O03192, 11:01:45, BUY, 500, $ 34.24"
"Market order: O03193, 11:01:46, BUY, 500"
"Add limit order: O03194, 11:01:48, BUY, 200, $ 32.53"
"Market order: O03195, 11:01:49, BUY, 200"
"Market order: O03196, 11:01:51, BUY, 600"
"Market order: O03197, 11:01:55, BUY, 700"
"Market order: O03198, 11:01:56, SELL, 300"
"Market order: O03199, 11:01:57, BUY, 400"
"Market order: O03200, 11:01:58, SELL, 300"
"Add limit order: O03201, 11:01:59, SELL, 100, $ 43.24"
"Market order: O03202, 11:02:01, BUY, 900"
"Market order: O03203, 11:02:02, BUY, 200"
"Market order: O03204, 11:02:03, SELL, 600"
"Cancel: O02933, 10:54:11, BUY, 200, $ 26.67"
"Add limit order: O03205, 11:02:05, SELL, 400, $ 41.46"
"Add limit order: O03206, 11:02:07, SELL, 100, $ 38.79"
"Add limit order: O03207, 11:02:08, BUY, 100, $ 34.86"
"Market order: O03208, 11:02:09, BUY, 100"
"Market order: O03209, 11:02:15, SELL, 200"
"Add limit order: O03210, 11:02:19, BUY, 300, $ 32.75"
"Add limit order: O03211, 11:02:20, SELL, 200, $ 35.14"
